author,month,rank,review,title,year
by Angela Duckworth,6.0,1.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2016.0
by Phil Knight,6.0,2.0,,SHOE DOG,2016.0
by Chris Anderson,6.0,3.0,,TED TALKS,2016.0
by Vishen Lakhiani,6.0,4.0,,THE CODE OF THE EXTRAORDINARY MIND,2016.0
by Malcolm Gladwell,6.0,5.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2016.0
by James Stone,6.0,6.0,,FIVE EASY THESES,2016.0
by Charles Duhigg,6.0,7.0,,THE POWER OF HABIT,2016.0
by Steve Case,6.0,8.0,,THE THIRD WAVE,2016.0
by Adam Grant,6.0,9.0,,ORIGINALS,2016.0
by Daniel Kahneman,6.0,10.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2016.0
by Angela Duckworth,7.0,1.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2016.0
by Phil Knight,7.0,2.0,,SHOE DOG,2016.0
by Malcolm Gladwell,7.0,3.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2016.0
by Charles Duhigg,7.0,4.0,,THE POWER OF HABIT,2016.0
by Nely Galán,7.0,5.0,,SELF-MADE,2016.0
by Kevin Kelly,7.0,6.0,,THE INEVITABLE,2016.0
by Ruchir Sharma,7.0,7.0,,THE RISE AND FALL OF NATIONS,2016.0
by Daniel Kahneman,7.0,8.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2016.0
by Adam Grant,7.0,9.0,,ORIGINALS,2016.0
by Vishen Lakhiani,7.0,10.0,,THE CODE OF THE EXTRAORDINARY MIND,2016.0
by Angela Duckworth,8.0,1.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2016.0
by Malcolm Gladwell,8.0,2.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2016.0
by Phil Knight,8.0,3.0,,SHOE DOG,2016.0
by Antonio García Martínez,8.0,4.0,https://www.nytimes.com/2016/07/10/books/review/chaos-monkeys-by-antonio-garcia-martinez.html,CHAOS MONKEYS,2016.0
by Charles Duhigg,8.0,5.0,,THE POWER OF HABIT,2016.0
by Daniel Kahneman,8.0,6.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2016.0
by Adam Grant,8.0,7.0,,ORIGINALS,2016.0
by Jonah Berger,8.0,8.0,,CONTAGIOUS,2016.0
by Steven D. Levitt and Stephen J. Dubner,8.0,9.0,,FREAKONOMICS,2016.0
by Malcolm Gladwell,8.0,10.0,https://www.nytimes.com/2000/02/28/books/books-of-the-times-how-ideas-can-be-seriously-infectious-consider-paul-revere.html,TIPPING POINT,2016.0
by Malcolm Gladwell,9.0,1.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2016.0
by Angela Duckworth,9.0,2.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2016.0
by Phil Knight,9.0,3.0,,SHOE DOG,2016.0
by James Andrew Miller,9.0,4.0,https://www.nytimes.com/2016/08/21/books/review/powerhouse-creative-artists-agency-james-andrew-miller.html,POWERHOUSE,2016.0
by Daniel Kahneman,9.0,5.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2016.0
by Charles Duhigg,9.0,6.0,,THE POWER OF HABIT,2016.0
by Steven D. Levitt and Stephen J. Dubner,9.0,7.0,,FREAKONOMICS,2016.0
by Malcolm Gladwell,9.0,8.0,https://www.nytimes.com/2000/02/28/books/books-of-the-times-how-ideas-can-be-seriously-infectious-consider-paul-revere.html,TIPPING POINT,2016.0
by Jonah Berger,9.0,9.0,,CONTAGIOUS,2016.0
by Adam Grant,9.0,10.0,,ORIGINALS,2016.0
by Edward Conard,10.0,1.0,,THE UPSIDE OF INEQUALITY,2016.0
by Bill Burnett and Dave Evans,10.0,2.0,,DESIGNING YOUR LIFE,2016.0
by Angela Duckworth,10.0,3.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2016.0
"by Neil Patel, Patrick Vlaskovits and Jonas Koffler",10.0,4.0,,HUSTLE,2016.0
by Phil Knight,10.0,5.0,,SHOE DOG,2016.0
by Malcolm Gladwell,10.0,6.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2016.0
by Simon Sinek,10.0,7.0,,TOGETHER IS BETTER,2016.0
by Daniel Kahneman,10.0,8.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2016.0
by Kathryn Hall and Craig Hall,10.0,9.0,,A PERFECT SCORE,2016.0
by Charles Duhigg,10.0,10.0,,THE POWER OF HABIT,2016.0
by Chip Gaines and Joanna Gaines with Mark Dagostino,11.0,1.0,,THE MAGNOLIA STORY,2016.0
by Bill Burnett and Dave Evans,11.0,2.0,,DESIGNING YOUR LIFE,2016.0
by Angela Duckworth,11.0,3.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2016.0
by Phil Knight,11.0,4.0,,SHOE DOG,2016.0
by Daniel Kahneman,11.0,5.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2016.0
by Simon Sinek,11.0,6.0,,TOGETHER IS BETTER,2016.0
by Charles Duhigg,11.0,7.0,,THE POWER OF HABIT,2016.0
by Malcolm Gladwell,11.0,8.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2016.0
by Robert Cialdini,11.0,9.0,,PRE-SUASION,2016.0
by Nicole Curtis,11.0,10.0,,BETTER THAN NEW,2016.0
by Chip Gaines and Joanna Gaines with Mark Dagostino,12.0,1.0,,THE MAGNOLIA STORY,2016.0
by Thomas L. Friedman,12.0,2.0,https://www.nytimes.com/2016/11/22/books/review/thomas-friedman-thank-you-for-being-late.html,THANK YOU FOR BEING LATE,2016.0
by Maciej Kranz,12.0,3.0,,BUILDING THE INTERNET OF THINGS,2016.0
by Angela Duckworth,12.0,4.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2016.0
by Daniel Kahneman,12.0,5.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2016.0
by Bill Burnett and Dave Evans,12.0,6.0,,DESIGNING YOUR LIFE,2016.0
